Exp1_GB,Exp2_Comite,Exp3_ATOp-PM
0.8350613595919207,0.913387535350988,0.9875009796465426
-8.103600817139025,-3.375760089776655,-0.0003120118657404
0.7697548020464501,0.9915329486855357,0.9484005788806168
0.7592940201254923,0.8944751814022078,0.9172941627593671
0.7248922614901785,0.9141021550545502,0.977557450512248
-3.517382328559357,0.1620287786668972,-0.972637930140922
0.8138560070718855,0.7212345151794444,0.0888373715618816
0.5502042850309534,0.8067293400142723,0.8168865634497101
0.8602864343790877,0.9177925375481124,0.993344018145937
0.8809000500141031,0.891649699756077,0.9248403218466078
